------------------------------------------------------------------------------
Spectrum  |                  Observed  |      Rel. |     Aki     | Acc. |Type|
          |                 Wavelength |      Int. |   (s^-1)    |      |    |
          |          Vac (µm)          |      (?)  |             |      |    |
------------------------------------------------------------------------------
Ar II     |              0.21107472    |        14 |             |      |    |
Ar II     |              0.21108964    |        15 |             |      |    |
Ar II     |              0.2114532     |         1 |             |      |    |
Ar II     |              0.21150789    |        11 |             |      |    |
Ar II     |              0.2116210     |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21166863    |        66 |             |      |    |
Ar II     |              0.2117934     |         1 |             |      |    |
Ar II     |              0.2118948     |         1 |             |      |    |
Ar II     |              0.21199839    |        44 |             |      |    |
Ar II     |              0.21208511    |         4 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21213048    |         5 |             |      |    |
Ar II     |              0.2121542     |         1 |             |      |    |
Ar II     |              0.21252713    |         5 |             |      |    |
Ar II     |              0.2125706     |         1 |             |      |    |
Ar II     |              0.21266643    |        79 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21270503    |        10 |             |      |    |
Ar II     |              0.2127646     |         3 |             |      |    |
Ar II     |              0.2128665     |         1 |             |      |    |
Ar II     |              0.21294236    |        32 |             |      |    |
Ar II     |              0.21298085    |        21 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21304258    |       155 |             |      |    |
Ar II     |              0.2130974     |       0.5 |             |      |    |
Ar II     |              0.2134941     |         1 |             |      |    |
Ar II     |              0.21388805    |        59 |             |      |    |
Ar II     |              0.2140747     |        2* |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2140747     |        2* |             |      |    |
Ar II     |              0.21416820    |         7 |             |      |    |
Ar II     |              0.21416835    |         4 |             |      |    |
Ar II     |              0.21422762    |        17 |             |      |    |
Ar II     |              0.2143884     |         3 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21468255    |        14 |             |      |    |
Ar II     |              0.2147681     |         2 |             |      |    |
Ar II     |              0.21505367    |         6 |             |      |    |
Ar II     |              0.21510518    |       129 |             |      |    |
Ar II     |              0.215194      |         0 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21530684    |       120 |             |      |    |
Ar II     |              0.21539813    |        51 |             |      |    |
Ar II     |              0.2155588     |         1 |             |      |    |
Ar II     |              0.2158755     |         2 |             |      |    |
Ar II     |              0.21588834    |        25 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21590494    |        37 |             |      |    |
Ar II     |              0.21618943    |        20 |             |      |    |
Ar II     |              0.21622906    |        11 |             |      |    |
Ar II     |              0.21643506    |        13 |             |      |    |
Ar II     |              0.2165039     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21657875    |        17 |             |      |    |
Ar II     |              0.21658188    |       178 |             |      |    |
Ar II     |              0.2170914     |         1 |             |      |    |
Ar II     |              0.2171038     |         1 |             |      |    |
Ar II     |              0.21713140    |       105 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21714192    |       107 |             |      |    |
Ar II     |              0.2172341     |         2 |             |      |    |
Ar II     |              0.21726353    |        11 |             |      |    |
Ar II     |              0.2173209     |         1 |             |      |    |
Ar II     |              0.217374      |         0 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2174190     |      2bl? |             |      |    |
Ar II     |              0.21745839    |       166 |             |      |    |
Ar II     |              0.21755048    |        58 |             |      |    |
Ar II     |              0.21756381    |       813 |             |      |    |
Ar II     |              0.21759645    |        20 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2176387     |         1 |             |      |    |
Ar II     |              0.2180089     |         2 |             |      |    |
Ar II     |              0.21802489    |         7 |             |      |    |
Ar II     |              0.2180789     |         1 |             |      |    |
Ar II     |              0.2180956     |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21812106    |       138 |             |      |    |
Ar II     |              0.21813830    |         8 |             |      |    |
Ar II     |              0.2182849     |       0.5 |             |      |    |
Ar II     |              0.21854865    |        74 |             |      |    |
Ar II     |              0.21873153    |       155 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2188350     |         0 |             |      |    |
Ar II     |              0.21884935    |        37 |             |      |    |
Ar II     |              0.218895      |         0 |             |      |    |
Ar II     |              0.2190235     |         2 |             |      |    |
Ar II     |              0.21905107    |       135 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21911472    |         5 |             |      |    |
Ar II     |              0.21912870    |        50 |             |      |    |
Ar II     |              0.21915789    |        48 |             |      |    |
Ar II     |              0.2192224     |         2 |             |      |    |
Ar II     |              0.21949071    |         8 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.21953546    |         7 |             |      |    |
Ar II     |              0.21954437    |        59 |             |      |    |
Ar II     |              0.21963920    |         5 |             |      |    |
Ar II     |              0.2197072     |         0 |             |      |    |
Ar II     |              0.2197786     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.22012416    |         9 |             |      |    |
Ar II     |              0.2201573     |         1 |             |      |    |
Ar II     |              0.2202135     |         1 |             |      |    |
Ar II     |              0.22046981    |         6 |             |      |    |
Ar II     |              0.22057332    |        95 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.22081507    |         5 |             |      |    |
Ar II     |              0.22103173    |        12 |             |      |    |
Ar II     |              0.2210883     |     3bl,i |             |      |    |
Ar II     |              0.2212094     |    0.5m?* |             |      |    |
Ar II     |              0.2212094     |    0.5m?* |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2214147     |         1 |             |      |    |
Ar II     |              0.22161849    |        87 |             |      |    |
Ar II     |              0.2218375     |         1 |             |      |    |
Ar II     |              0.22188032    |       132 |             |      |    |
Ar II     |              0.22199624    |       117 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.22203507    |        13 |             |      |    |
Ar II     |              0.22213518    |        14 |             |      |    |
Ar II     |              0.22220674    |        19 |             |      |    |
Ar II     |              0.2222408     |       0.5 |             |      |    |
Ar II     |              0.2224550     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.22256602    |       309 |             |      |    |
Ar II     |              0.22272977    |        62 |             |      |    |
Ar II     |              0.2229024     |     0.5bl |             |      |    |
Ar II     |              0.22295322    |        11 |             |      |    |
Ar II     |              0.22296465    |       603 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.22303202    |        13 |             |      |    |
Ar II     |              0.22310253    |        13 |             |      |    |
Ar II     |              0.22314204    |       240 |             |      |    |
Ar II     |              0.22334783    |        50 |             |      |    |
Ar II     |              0.22346724    |       214 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.22357593    |        20 |             |      |    |
Ar II     |              0.22359032    |        21 |             |      |    |
Ar II     |              0.22365255    |        62 |             |      |    |
